,SpeakerDyad,ListenerDyad,SpeakerExtract,ListenerExtract,SpeakerID,ListenerID,VideoPath,AudioPath,Condition,Modality,SpeakerSex,Duration,DisplayedDyad
303,2,2,3,2,F1,M2,./stim/processed_extracts/fake/2\2_3_va.mov,./stim/processed_extracts/audio/2/2_3_audio.wav,fake_wd,va,F,8,2
304,2,2,3,2,F1,M2,./stim/processed_extracts/fake/2\2_3_vv.mov,./stim/processed_extracts/audio/2/2_3_audio.wav,fake_wd,vv,F,8,2
305,2,2,3,2,F1,M2,./stim/processed_extracts/fake/2\2_3_vva.mov,./stim/processed_extracts/audio/2/2_3_audio.wav,fake_wd,vva,F,8,2
306,3,3,1,6,M1,F2,./stim/processed_extracts/fake/3\1_6_va.mov,./stim/processed_extracts/audio/3/1_6_audio.wav,fake_wd,va,M,7,3
307,3,3,1,6,M1,F2,./stim/processed_extracts/fake/3\1_6_vv.mov,./stim/processed_extracts/audio/3/1_6_audio.wav,fake_wd,vv,M,7,3
308,3,3,1,6,M1,F2,./stim/processed_extracts/fake/3\1_6_vva.mov,./stim/processed_extracts/audio/3/1_6_audio.wav,fake_wd,vva,M,7,3
309,3,3,8,4,F2,M1,./stim/processed_extracts/fake/3\4_8_va.mov,./stim/processed_extracts/audio/3/4_8_audio.wav,fake_wd,va,F,12,3
310,3,3,8,4,F2,M1,./stim/processed_extracts/fake/3\4_8_vv.mov,./stim/processed_extracts/audio/3/4_8_audio.wav,fake_wd,vv,F,12,3
311,3,3,8,4,F2,M1,./stim/processed_extracts/fake/3\4_8_vva.mov,./stim/processed_extracts/audio/3/4_8_audio.wav,fake_wd,vva,F,12,3
312,4,4,1,6,M2,F2,./stim/processed_extracts/fake/4\1_6_va.mov,./stim/processed_extracts/audio/4/1_6_audio.wav,fake_wd,va,M,6,4
313,4,4,1,6,M2,F2,./stim/processed_extracts/fake/4\1_6_vv.mov,./stim/processed_extracts/audio/4/1_6_audio.wav,fake_wd,vv,M,6,4
314,4,4,1,6,M2,F2,./stim/processed_extracts/fake/4\1_6_vva.mov,./stim/processed_extracts/audio/4/1_6_audio.wav,fake_wd,vva,M,6,4
315,4,4,9,3,M2,F2,./stim/processed_extracts/fake/4\3_9_va.mov,./stim/processed_extracts/audio/4/3_9_audio.wav,fake_wd,va,M,11,4
316,4,4,9,3,M2,F2,./stim/processed_extracts/fake/4\3_9_vv.mov,./stim/processed_extracts/audio/4/3_9_audio.wav,fake_wd,vv,M,11,4
317,4,4,9,3,M2,F2,./stim/processed_extracts/fake/4\3_9_vva.mov,./stim/processed_extracts/audio/4/3_9_audio.wav,fake_wd,vva,M,11,4
318,5,5,3,4,F1,M3,./stim/processed_extracts/fake/5\3_4_va.mov,./stim/processed_extracts/audio/5/3_4_audio.wav,fake_wd,va,F,15,5
319,5,5,3,4,F1,M3,./stim/processed_extracts/fake/5\3_4_vv.mov,./stim/processed_extracts/audio/5/3_4_audio.wav,fake_wd,vv,F,15,5
320,5,5,3,4,F1,M3,./stim/processed_extracts/fake/5\3_4_vva.mov,./stim/processed_extracts/audio/5/3_4_audio.wav,fake_wd,vva,F,15,5
321,6,6,5,4,F3,M1,./stim/processed_extracts/fake/6\4_5_va.mov,./stim/processed_extracts/audio/6/4_5_audio.wav,fake_wd,va,F,10,6
322,6,6,5,4,F3,M1,./stim/processed_extracts/fake/6\4_5_vv.mov,./stim/processed_extracts/audio/6/4_5_audio.wav,fake_wd,vv,F,10,6
323,6,6,5,4,F3,M1,./stim/processed_extracts/fake/6\4_5_vva.mov,./stim/processed_extracts/audio/6/4_5_audio.wav,fake_wd,vva,F,10,6
324,7,7,1,2,M4,F3,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,fake_wd,va,M,8,7
325,7,7,1,2,M4,F3,./stim/processed_extracts/fake/7\1_2_vv.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,fake_wd,vv,M,8,7
326,7,7,1,2,M4,F3,./stim/processed_extracts/fake/7\1_2_vva.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,fake_wd,vva,M,8,7
327,8,8,4,5,F4,M4,./stim/processed_extracts/fake/8\4_5_va.mov,./stim/processed_extracts/audio/8/4_5_audio.wav,fake_wd,va,F,9,8
328,8,8,4,5,F4,M4,./stim/processed_extracts/fake/8\4_5_vv.mov,./stim/processed_extracts/audio/8/4_5_audio.wav,fake_wd,vv,F,9,8
329,8,8,4,5,F4,M4,./stim/processed_extracts/fake/8\4_5_vva.mov,./stim/processed_extracts/audio/8/4_5_audio.wav,fake_wd,vva,F,9,8
330,9,9,1,3,F1,M4,./stim/processed_extracts/fake/9\1_3_va.mov,./stim/processed_extracts/audio/9/1_3_audio.wav,fake_wd,va,F,7,9
331,9,9,1,3,F1,M4,./stim/processed_extracts/fake/9\1_3_vv.mov,./stim/processed_extracts/audio/9/1_3_audio.wav,fake_wd,vv,F,7,9
332,9,9,1,3,F1,M4,./stim/processed_extracts/fake/9\1_3_vva.mov,./stim/processed_extracts/audio/9/1_3_audio.wav,fake_wd,vva,F,7,9
333,10,10,3,6,M4,F2,./stim/processed_extracts/fake/10\3_6_va.mov,./stim/processed_extracts/audio/10/3_6_audio.wav,fake_wd,va,M,6,10
334,10,10,3,6,M4,F2,./stim/processed_extracts/fake/10\3_6_vv.mov,./stim/processed_extracts/audio/10/3_6_audio.wav,fake_wd,vv,M,6,10
335,10,10,3,6,M4,F2,./stim/processed_extracts/fake/10\3_6_vva.mov,./stim/processed_extracts/audio/10/3_6_audio.wav,fake_wd,vva,M,6,10
336,11,11,1,2,M2,F4,./stim/processed_extracts/fake/11\1_2_va.mov,./stim/processed_extracts/audio/11/1_2_audio.wav,fake_wd,va,M,7,11
337,11,11,1,2,M2,F4,./stim/processed_extracts/fake/11\1_2_vv.mov,./stim/processed_extracts/audio/11/1_2_audio.wav,fake_wd,vv,M,7,11
338,11,11,1,2,M2,F4,./stim/processed_extracts/fake/11\1_2_vva.mov,./stim/processed_extracts/audio/11/1_2_audio.wav,fake_wd,vva,M,7,11
339,11,11,6,5,F4,M2,./stim/processed_extracts/fake/11\5_6_va.mov,./stim/processed_extracts/audio/11/5_6_audio.wav,fake_wd,va,F,7,11
340,11,11,6,5,F4,M2,./stim/processed_extracts/fake/11\5_6_vv.mov,./stim/processed_extracts/audio/11/5_6_audio.wav,fake_wd,vv,F,7,11
341,11,11,6,5,F4,M2,./stim/processed_extracts/fake/11\5_6_vva.mov,./stim/processed_extracts/audio/11/5_6_audio.wav,fake_wd,vva,F,7,11
342,12,12,5,2,F4,M1,./stim/processed_extracts/fake/12\2_5_va.mov,./stim/processed_extracts/audio/12/2_5_audio.wav,fake_wd,va,F,7,12
343,12,12,5,2,F4,M1,./stim/processed_extracts/fake/12\2_5_vv.mov,./stim/processed_extracts/audio/12/2_5_audio.wav,fake_wd,vv,F,7,12
344,12,12,5,2,F4,M1,./stim/processed_extracts/fake/12\2_5_vva.mov,./stim/processed_extracts/audio/12/2_5_audio.wav,fake_wd,vva,F,7,12
345,13,13,4,1,M3,F4,./stim/processed_extracts/fake/13\1_4_va.mov,./stim/processed_extracts/audio/13/1_4_audio.wav,fake_wd,va,M,14,13
346,13,13,4,1,M3,F4,./stim/processed_extracts/fake/13\1_4_vv.mov,./stim/processed_extracts/audio/13/1_4_audio.wav,fake_wd,vv,M,14,13
347,13,13,4,1,M3,F4,./stim/processed_extracts/fake/13\1_4_vva.mov,./stim/processed_extracts/audio/13/1_4_audio.wav,fake_wd,vva,M,14,13
348,14,14,1,5,M3,F3,./stim/processed_extracts/fake/14\1_5_va.mov,./stim/processed_extracts/audio/14/1_5_audio.wav,fake_wd,va,M,8,14
349,14,14,1,5,M3,F3,./stim/processed_extracts/fake/14\1_5_vv.mov,./stim/processed_extracts/audio/14/1_5_audio.wav,fake_wd,vv,M,8,14
350,14,14,1,5,M3,F3,./stim/processed_extracts/fake/14\1_5_vva.mov,./stim/processed_extracts/audio/14/1_5_audio.wav,fake_wd,vva,M,8,14
351,15,15,5,3,M2,F3,./stim/processed_extracts/fake/15\3_5_va.mov,./stim/processed_extracts/audio/15/3_5_audio.wav,fake_wd,va,M,17,15
352,15,15,5,3,M2,F3,./stim/processed_extracts/fake/15\3_5_vv.mov,./stim/processed_extracts/audio/15/3_5_audio.wav,fake_wd,vv,M,17,15
353,15,15,5,3,M2,F3,./stim/processed_extracts/fake/15\3_5_vva.mov,./stim/processed_extracts/audio/15/3_5_audio.wav,fake_wd,vva,M,17,15
354,16,16,1,2,F2,M3,./stim/processed_extracts/fake/16\1_2_va.mov,./stim/processed_extracts/audio/16/1_2_audio.wav,fake_wd,va,F,11,16
355,16,16,1,2,F2,M3,./stim/processed_extracts/fake/16\1_2_vv.mov,./stim/processed_extracts/audio/16/1_2_audio.wav,fake_wd,vv,F,11,16
356,16,16,1,2,F2,M3,./stim/processed_extracts/fake/16\1_2_vva.mov,./stim/processed_extracts/audio/16/1_2_audio.wav,fake_wd,vva,F,11,16
