Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66a7b0dd2db2d35a2887e8f2,669006e03047f10df987445e,APPROVED,Not Applicable,2024-07-29T15:10:24.518000Z,2024-07-29T15:22:54.319000Z,2024-07-29T15:22:55.969000Z,2024-07-29T15:22:54.880813Z,750.0,CDDT2OUD,12,"English, French, Portuguese, Spanish",31,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
66a7b0fc0876f5a79848beda,616feb99305d8e8851e9dec6,APPROVED,Not Applicable,2024-07-29T15:10:52.977000Z,2024-07-29T15:24:26.622000Z,2024-07-29T15:24:29.997000Z,2024-07-29T15:24:27.209594Z,814.0,CDDT2OUD,676,"French, Portuguese, Spanish, English",53,Male,White,France,Portugal,Portugal,Portuguese,Yes,Full-Time
66a7b10a2d535f0c0649b0a9,5dae84b33990ed001856475a,APPROVED,Not Applicable,2024-07-29T15:11:28.603000Z,2024-07-29T15:23:09.638000Z,2024-07-29T15:23:10.449000Z,2024-07-29T15:23:10.320819Z,702.0,CDDT2OUD,1040,"Armenian, English, French",36,Male,White,Canada,Canada,Canada,Armenian,No,Full-Time
66a7b10bbedf8a11bc09a945,65b80de88b3905b0efcaef19,APPROVED,Not Applicable,2024-07-29T15:11:17.077000Z,2024-07-29T15:37:55.011000Z,2024-07-29T15:40:22.290000Z,2024-07-29T15:40:15.218028Z,1598.0,CDDT2OUD,56,French,36,Male,Asian,France,France,France,French,No,DATA_EXPIRED
66a7b1143f42742afebee50f,65cf6d92ac6f7932b1470fb4,APPROVED,Not Applicable,2024-07-29T15:11:38.944000Z,2024-07-29T15:22:50.371000Z,2024-07-29T15:22:51.212000Z,2024-07-29T15:22:51.087801Z,672.0,CDDT2OUD,162,"French, English",22,Female,White,France,France,France,French,No,Other
66a7b11558f14266ee6cece8,60fd3ad24b4ca4993021e35c,RETURNED,Not Applicable,2024-07-29T15:11:55.395000Z,,,2024-07-29T21:40:42.653518Z,,,291,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7b11af249dc60eabfa03d,6548fb51db60a00d76e9270b,APPROVED,Not Applicable,2024-07-29T15:11:22.703000Z,2024-07-29T15:22:37.402000Z,2024-07-29T15:22:40.448000Z,2024-07-29T15:22:38.654989Z,675.0,CDDT2OUD,199,"French, English",21,Female,White,France,France,France,French,Yes,DATA_EXPIRED
66a7b17f285ff99666639ee3,66927fa4b5c5767152a2d9db,RETURNED,Not Applicable,2024-07-29T15:13:13.436000Z,,,2024-07-29T21:40:42.657287Z,,,11,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7b180796ea115d89dcada,6692fea4ffe2b1330ef182eb,APPROVED,Not Applicable,2024-07-29T15:13:10.831000Z,2024-07-29T15:25:19.676000Z,2024-07-29T15:28:08.637000Z,2024-07-29T15:27:52.633756Z,729.0,CDDT2OUD,1,"English, French, Bengali",20,Female,Asian,Canada,Canada,Canada,Bengali,Yes,Part-Time
66a7b18747305458663a701b,65a96f1ddb914cd1486cbac6,APPROVED,Not Applicable,2024-07-29T15:13:20.562000Z,2024-07-29T15:26:32.232000Z,2024-07-29T15:28:52.523000Z,2024-07-29T15:28:16.383224Z,792.0,CDDT2OUD,140,French,42,Female,White,France,France,France,French,No,Full-Time
66a7b18ffcc19325e7b1ecb7,5c32736324d16c00015b29d5,APPROVED,Not Applicable,2024-07-29T15:13:38.436000Z,2024-07-29T15:27:27.431000Z,2024-07-29T15:29:31.910000Z,2024-07-29T15:28:39.837114Z,829.0,CDDT2OUD,641,"French, English, Somali",30,Female,Black,Djibouti,France,Djibouti,Somali,Yes,Part-Time
