,trial,condition,listener_au,duration,dyad,times_presented,model_performance,subject_accuracy,confidence,genuineness
73,./stim/processed_extracts/true/45\3_va.mov,true,AU12,7,45,8,-0.11166940103249337,0.125,2.75,0.125
74,./stim/processed_extracts/true/46\2_va.mov,true,AU12,8,46,5,-0.2769433278925058,0.4,2.8,0.4
75,./stim/processed_extracts/true/47\3_va.mov,true,AU12,9,47,5,-0.11793536543537841,0.2,1.8,0.2
76,./stim/processed_extracts/true/47\7_va.mov,true,AU12,13,47,5,-0.17589212289404557,0.8,2.8,0.8
77,./stim/processed_extracts/true/48\5_va.mov,true,AU12,12,48,9,0.28327127204299674,0.5555555555555556,2.4444444444444446,0.5555555555555556
78,./stim/processed_extracts/true/48\8_va.mov,true,AU12,8,48,7,-0.01963386569213381,0.42857142857142855,3.2857142857142856,0.42857142857142855
79,./stim/processed_extracts/true/49\1_va.mov,true,AU12,9,49,6,-0.15312323628397392,0.6666666666666666,2.3333333333333335,0.6666666666666666
80,./stim/processed_extracts/true/50\1_va.mov,true,AU12,8,50,5,0.6154426216169847,0.4,2.4,0.4
81,./stim/processed_extracts/true/51\3_va.mov,true,AU12,7,51,8,-0.31533198013274405,0.5,2.0,0.5
82,./stim/processed_extracts/true/52\2_va.mov,true,AU12,10,52,5,-0.1276217962577117,0.6,2.6,0.6
83,./stim/processed_extracts/true/52\3_va.mov,true,AU12,10,52,8,0.2215828434634607,0.75,2.5,0.75
84,./stim/processed_extracts/true/53\1_va.mov,true,AU12,7,53,4,-0.4531435667433228,0.75,2.0,0.75
85,./stim/processed_extracts/true/53\2_va.mov,true,AU12,11,53,9,0.17064332036972849,0.7777777777777778,2.5555555555555554,0.7777777777777778
86,./stim/processed_extracts/true/54\1_va.mov,true,AU12,7,54,4,-0.24441604383054347,0.5,2.5,0.5
87,./stim/processed_extracts/true/54\3_va.mov,true,AU12,10,54,4,-0.2419726077357017,0.75,3.0,0.75
88,./stim/processed_extracts/true/54\5_va.mov,true,AU12,8,54,4,-0.4427514498303142,0.0,2.5,0.0
89,./stim/processed_extracts/true/55\1_va.mov,true,AU12,14,55,8,0.4385838107022629,0.25,2.375,0.25
90,./stim/processed_extracts/true/55\6_va.mov,true,AU12,9,55,8,0.3781992302477423,0.625,2.25,0.625
91,./stim/processed_extracts/true/56\1_va.mov,true,AU12,7,56,7,-0.38456644272227136,0.7142857142857143,2.4285714285714284,0.7142857142857143
92,./stim/processed_extracts/true/57\1_va.mov,true,AU12,11,57,3,0.29643558137009707,1.0,2.6666666666666665,1.0
93,./stim/processed_extracts/true/57\3_va.mov,true,AU12,13,57,6,-0.024239046680452146,0.8333333333333334,2.6666666666666665,0.8333333333333334
94,./stim/processed_extracts/true/58\3_va.mov,true,AU12,9,58,4,-0.055906009806082374,0.75,2.5,0.75
95,./stim/processed_extracts/true/58\5_va.mov,true,AU12,10,58,4,0.4135994547623448,0.25,2.75,0.25
96,./stim/processed_extracts/true/59\1_va.mov,true,AU12,9,59,6,-0.16648643400081417,0.6666666666666666,2.1666666666666665,0.6666666666666666
97,./stim/processed_extracts/true/59\3_va.mov,true,AU12,10,59,4,-0.12533817708233874,0.75,2.5,0.75
98,./stim/processed_extracts/true/60\1_va.mov,true,AU12,6,60,6,0.14758650189943776,0.3333333333333333,2.3333333333333335,0.3333333333333333
99,./stim/processed_extracts/true/60\5_va.mov,true,AU12,14,60,3,0.44158788074820793,1.0,3.0,1.0
100,./stim/processed_extracts/true/1\3_va.mov,true,AU14,26,1,6,0.10975094517220062,1.0,3.3333333333333335,1.0
101,./stim/processed_extracts/true/2\1_va.mov,true,AU14,11,2,6,-0.13592015356968615,0.3333333333333333,3.5,0.3333333333333333
102,./stim/processed_extracts/true/3\2_va.mov,true,AU14,15,3,5,0.3661761363366767,0.8,3.2,0.8
103,./stim/processed_extracts/true/3\7_va.mov,true,AU14,7,3,5,0.18267644938254765,0.4,3.2,0.4
104,./stim/processed_extracts/true/4\4_va.mov,true,AU14,7,4,7,-0.2352032253312451,0.7142857142857143,2.4285714285714284,0.7142857142857143
105,./stim/processed_extracts/true/4\7_va.mov,true,AU14,19,4,5,0.14318661308713668,0.8,3.4,0.8
106,./stim/processed_extracts/true/5\1_va.mov,true,AU14,19,5,4,0.5041258824705837,1.0,3.0,1.0
107,./stim/processed_extracts/true/5\2_va.mov,true,AU14,15,5,4,0.21429842158995996,0.5,3.25,0.5
108,./stim/processed_extracts/true/5\5_va.mov,true,AU14,7,5,5,0.11620840869652675,0.6,2.4,0.6
109,./stim/processed_extracts/true/6\3_va.mov,true,AU14,23,6,2,-0.10002294716763953,1.0,4.0,1.0
110,./stim/processed_extracts/true/7\3_va.mov,true,AU14,7,7,9,0.34388286716366495,0.7777777777777778,2.7777777777777777,0.7777777777777778
